2014-09-25 13:46:52,381 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:46:52,381 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:46:52,381 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:46:52,381 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:47:02,895 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:47:02,895 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:47:02,895 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:47:02,895 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:49:04,630 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:49:04,630 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2014-09-25 13:49:04,630 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:49:04,630 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:49:25,006 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:49:25,006 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2014-09-25 13:49:25,006 [Worker-104] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:49:25,006 [Worker-104] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:49:51,318 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:49:51,318 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2014-09-25 13:49:51,318 [Worker-98] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:49:51,318 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:50:05,872 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:50:05,872 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2014-09-25 13:50:05,872 [Worker-105] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:50:05,872 [Worker-105] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:51:49,275 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:51:49,275 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:51:49,275 [Worker-108] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:51:49,275 [Worker-108] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:53:23,182 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:53:23,182 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:53:23,182 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:53:23,182 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:55:52,808 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:55:52,808 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:55:52,808 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:55:52,808 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:56:43,901 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:56:43,901 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:56:43,901 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:56:43,901 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-25 13:57:57,552 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-25 13:57:57,552 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-09-25 13:57:57,552 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
